"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"WASHC4",0.0188974280185376,0.347248803820356,0.522,0.401,1,FALSE,"Not significant"
"ASAP3",0.0188996441654751,3.30894047324977,0.225,0.137,1,FALSE,"Not significant"
"KCNAB1",0.0189303409124538,1.58577780572361,0.181,0.297,1,FALSE,"Not significant"
"C4BPA",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"HTRA2",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"MPP4",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"SHOX2",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"ZDHHC19",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"SLC6A3",0.0189395899227898,-3.002337963832,0.011,0.055,1,FALSE,"Not significant"
"AC018647.2",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"C9orf24",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"RPUSD2",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"LAIR1",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"AC005498.3",0.0189395899227898,3.002337963832,0.055,0.011,1,FALSE,"Not significant"
"ADAMTS5",0.0189395899227898,-6.56099643329867,0.011,0.055,1,FALSE,"Not significant"
"LINC01426",0.0189395899227898,-2.36490639899772,0.011,0.055,1,FALSE,"Not significant"
"HECTD4",0.0189509534122492,6.39288019618096,0.78,0.676,1,FALSE,"Not significant"
"RAD23B",0.0189520793194153,1.14233933445492,0.577,0.451,1,FALSE,"Not significant"
"MCCC2",0.0189865867154952,3.13340176844678,0.445,0.341,1,FALSE,"Not significant"
"FAM192A",0.0189999558777018,0.749130104942301,0.44,0.313,1,FALSE,"Not significant"
"CNTNAP3B",0.0190215472464115,1.3669001458583,0.165,0.275,1,FALSE,"Not significant"
"HHIP",0.0190267617348218,-0.918754551976825,0.033,0.093,1,FALSE,"Not significant"
"AC009283.1",0.0190508351884169,1.39386047638771,0.044,0.005,1,FALSE,"Not significant"
"TBC1D10B",0.0190697826802794,1.5121138518142,0.302,0.203,1,FALSE,"Not significant"
"MZF1",0.0190708440612521,1.36769538067862,0.401,0.28,1,FALSE,"Not significant"
"CDS2",0.0190757858164896,1.30370443736958,0.418,0.308,1,FALSE,"Not significant"
"AC003002.2",0.0190938981569481,1.44138064731767,0.11,0.044,1,FALSE,"Not significant"
