"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050684","regulation of mRNA processing","13/620","135/18842",0.0962962962962963,2.92647550776583,4.14360264376616,0.000519363713797701,0.0269983906346303,0.0269983906346303,"CCNL1/SON/RBPMS/CCNL2/SRRM1/RBM5/ACIN1/RBM39/SRSF4/SRPK2/RBM25/SFSWAP/HDAC7",13
"GO:0030837","negative regulation of actin filament polymerization","8/620","57/18842",0.140350877192982,4.26530843237125,4.55413432826793,0.000523438185773445,0.0269983906346303,0.0269983906346303,"CAPZB/ADD1/EPS8/HIP1R/SLIT2/ARFGEF1/SSH2/ADD2",8
"GO:0044331","cell-cell adhesion mediated by cadherin","8/620","57/18842",0.140350877192982,4.26530843237125,4.55413432826793,0.000523438185773445,0.0269983906346303,0.0269983906346303,"CDH1/VEGFA/FAT1/FAT2/PLEKHA7/PTPRU/CDH26/TJP1",8
"GO:0045926","negative regulation of growth","16/620","189/18842",0.0846560846560847,2.57272572111282,4.00829193481789,0.000532578277681462,0.0272309588936261,0.0272309588936261,"CDH1/FGF13/FGFR3/TMPRSS4/DDX3X/PPARD/FOXP1/SEMA6D/SLIT2/BCL6/PTK6/MAP2/DIP2B/SMAD3/VGLL4/IP6K2",16
"GO:1990778","protein localization to cell periphery","24/620","348/18842",0.0689655172413793,2.09588431590656,3.80617458614105,0.000555901474779641,0.0281784540664163,0.0281784540664163,"CDH1/FGF13/GAK/SMURF1/GOLGA4/TRIP11/MAP7/PDPK1/RAB10/OGT/ERBB2/GGA3/TSPAN14/DUOXA1/PRKCZ/ADAM10/JUP/SLMAP/PPIL2/ZDHHC3/TNFRSF1A/EZR/ITGA3/CAMK2G",24
"GO:0090132","epithelium migration","10/620","87/18842",0.114942528735632,3.49314052651094,4.29929899065235,0.000567147242560321,0.0282612354767347,0.0282612354767347,"RREB1/GRHL2/PTPRR/PTPRG/MCC/FAT2/OCLN/TACSTD2/KRT16/CLASP2",10
"GO:2000628","regulation of miRNA metabolic process","10/620","87/18842",0.114942528735632,3.49314052651094,4.29929899065235,0.000567147242560321,0.0282612354767347,0.0282612354767347,"SREBF1/PPARG/PPARD/VEGFA/SREBF2/NCOR1/NEAT1/SMAD3/FOS/GNL3",10
"GO:0010586","miRNA metabolic process","11/620","103/18842",0.106796116504854,3.24556843094269,4.21523216302071,0.000576390014655751,0.0284804477829901,0.0284804477829901,"SREBF1/PPARG/DICER1/PPARD/VEGFA/SREBF2/NCOR1/NEAT1/SMAD3/FOS/GNL3",11
"GO:0007219","Notch signaling pathway","13/620","137/18842",0.0948905109489051,2.88375323757947,4.08183304676727,0.000597736627548552,0.0291179050110433,0.0291179050110433,"MAML3/LLGL2/SREBF2/DTX2/EPN2/TSPAN14/TCIM/ZMIZ1/HES1/ADAM10/CD46/GMDS/SPEN",13
"GO:0007160","cell-matrix adhesion","18/620","229/18842",0.0786026200873362,2.38875898013805,3.90019419094676,0.000599194984070789,0.0291179050110433,0.0291179050110433,"SDC4/ITGA6/VEGFA/NF1/SLC9A1/ARHGAP6/CTTN/ITGB4/CD96/SLK/ITGB6/RAB40C/CLASP2/JUP/PTPRA/SMAD3/PHLDB2/ITGA3",18
